,0,1
1128,Rick Ross,6
1129,Sebastian,6
1130,Various Artists,6
1131,Skrillex,6
1132,Brad Paisley,6
1133,The Avalanches,6
1134,Cali Y El Dandee,6
1135,Katy Perry,6
1136,Baauer,6
1137,Rocko,6
1138,UGK,6
1139,Bassnectar,6
1140,TR/ST,6
1141,Parliament,6
1142,Florida Georgia Line,6
1143,DJ Snake,7
1144,Mac Demarco,7
1145,Elephant,7
1146,Hippie Sabotage,7
1147,Logic,7
1148,Juicy J,7
1149,Demi Lovato,7
1150,Zach Williams,7
1151,CHVRCHES,7
1152,Martin Garrix,7
1153,Travis Scott,7
1154,Ezale,7
1155,K-Ci & JoJo,7
1156,MercyMe,7
1157,Matthew West,7
1158,Pete Wingfield,7
1159,Justice,7
1160,CHVRCHES,7
1161,M83,7
1162,Jefferson Airplane,7
1163,Silk Rhodes,7
1164,Arcade Fire,7
1165,Kaleidoscope,7
1166,Shania Twain,7
1167,Banks,7
1168,Mandisa,7
1169,Hillsong Worship,7
1170,PALGOU,7
1171,Elevation Worship,7
1172,Kid Cudi,7
1173,Sidewalk Prophets,7
1174,Twin Shadow,7
1175,Joshua Micah,7
1176,Jesus Culture,7
1177,Kanye West,7
1178,Natalie Grant,7
1179,ScHoolboy Q,7
1180,2 Chainz,7
1181,DJ Snake,7
1182,Steven Curtis Chapman,7
1183,Khrebto,7
1184,Passion,7
1185,Kari Jobe,7
1186,CHVRCHES,7
1187,Lykke Li,7
1188,Flume,7
1189,FKA twigs,7
1190,Crowder,7
1191,Emmit Fenn,7
1192,Toni Braxton,7
1193,Charice,7
1194,The Killers,7
1195,Seven Lions,7
1196,Hillsong United,7
1197,Timber Timbre,7
1198,The Weeknd,7
1199,Jamaican Queens,7
1200,Phosphorescent,7
1201,Ariana Grande,7
1202,The Beach Boys,7
1203,Felix Cartal,7
1204,SALTNPAPER,7
1205,Autre Ne Veut,7
1206,Switchfoot,7
1207,Tenth Avenue North,7
1208,Big K.R.I.T.,7
1209,Justice,7
1210,Alanis Morissette,7
1211,Jidenna,7
1212,Cashmere Cat,7
